article_id,title,content,source,published_at,url,language,expected_domain,split
11ee2aaa4d7a,Parliament backs election finance reform plan,"Government lawmakers approved an election finance package after a long parliament debate on campaign funding, voter transparency, coalition strategy, and policy oversight.",BBC Demo,2026-02-18T08:00:00+00:00,https://demo.local/parliament-backs-election-finance-reform-plan,en,Politics,demo
e2e026c65f46,Cabinet outlines new industrial policy after budget session,"Ministers said the industrial policy will support manufacturing, regional jobs, export growth, and infrastructure while opposition leaders demanded stricter accountability from government agencies.",BBC Demo,2026-02-19T09:15:00+00:00,https://demo.local/cabinet-outlines-new-industrial-policy-after-budget-session,en,Politics,demo
17a457d26fd2,Regional leaders push coalition talks ahead of national vote,"Party officials accelerated coalition negotiations, election outreach, and legislative messaging as polling tightened before the national vote and parliament reconvened.",Reuters Demo,2026-02-21T10:00:00+00:00,https://demo.local/regional-leaders-push-coalition-talks-ahead-of-national-vote,en,Politics,demo
30dcff124f55,Senate committee reviews cyber policy and digital regulation,"The senate committee examined cybersecurity rules, digital platform regulation, public data protection, and cross-border policy coordination with technology regulators.",CNN Demo,2026-02-24T12:00:00+00:00,https://demo.local/senate-committee-reviews-cyber-policy-and-digital-regulation,en,Politics,demo
135364cc5822,National team seals cricket series after dominant chase,"The cricket team completed a dominant chase with late boundary hitting, disciplined bowling, and sharp fielding as the match crowd celebrated the series-clinching score.",BBC Demo,2026-02-18T14:30:00+00:00,https://demo.local/national-team-seals-cricket-series-after-dominant-chase,en,Sports,demo
ce33e32ca9de,Coach praises young squad after dramatic football comeback,"The football coach praised the young squad after a dramatic league comeback driven by pressing, midfield control, and a stoppage-time goal that lifted team morale.",CNN Demo,2026-02-20T18:10:00+00:00,https://demo.local/coach-praises-young-squad-after-dramatic-football-comeback,en,Sports,demo
0ecabe925255,Analysts track player workload before major tournament,"Sports analysts reviewed training data, player workload, injury management, and tournament rotation plans as the coaching staff prepared for knockout matches.",Reuters Demo,2026-02-23T07:45:00+00:00,https://demo.local/analysts-track-player-workload-before-major-tournament,en,Sports,demo
72df000d5d25,League final draws record audience and sponsorship demand,"The league final attracted record audience figures, sponsorship demand, merchandise sales, and global broadcast attention after a high-scoring team performance.",CNN Demo,2026-02-26T20:05:00+00:00,https://demo.local/league-final-draws-record-audience-and-sponsorship-demand,en,Sports,demo
40d7b0d196b2,AI startup launches diagnostic platform for hospitals,"An AI startup launched clinical software for hospitals, combining machine learning, medical imaging support, workflow automation, and analytics for faster diagnosis.",Reuters Demo,2026-02-18T06:50:00+00:00,https://demo.local/ai-startup-launches-diagnostic-platform-for-hospitals,en,Technology,demo
757f7193cfcf,Cloud vendors compete over enterprise automation tools,"Technology companies expanded cloud automation tools, developer platforms, cybersecurity monitoring, and software integration features for large enterprise clients.",BBC Demo,2026-02-20T11:20:00+00:00,https://demo.local/cloud-vendors-compete-over-enterprise-automation-tools,en,Technology,demo
c64f99e12745,Chipmakers accelerate investment in data center hardware,"Chipmakers announced investment in data center hardware, AI accelerators, semiconductor capacity, and efficient software stacks for enterprise inference workloads.",CNN Demo,2026-02-22T13:00:00+00:00,https://demo.local/chipmakers-accelerate-investment-in-data-center-hardware,en,Technology,demo
64bf83a08e79,University lab partners with startup on robotics software,"Researchers partnered with a robotics startup to test autonomous software, simulation pipelines, machine learning models, and industrial inspection workflows.",BBC Demo,2026-02-25T15:10:00+00:00,https://demo.local/university-lab-partners-with-startup-on-robotics-software,en,Technology,demo
f9418a5ba62f,Markets rally as central bank signals slower rate path,"Global markets rallied after the central bank signaled a slower interest rate path, lifting equities, bond sentiment, banking stocks, and corporate borrowing confidence.",Reuters Demo,2026-02-19T16:00:00+00:00,https://demo.local/markets-rally-as-central-bank-signals-slower-rate-path,en,Business,demo
1acaa484a37e,Retail earnings beat forecasts on strong digital sales,"Retail groups posted stronger earnings, citing digital sales, supply chain improvement, consumer demand, and disciplined inventory management during the quarter.",CNN Demo,2026-02-21T17:25:00+00:00,https://demo.local/retail-earnings-beat-forecasts-on-strong-digital-sales,en,Business,demo
7d4817b374a1,Logistics firms warn of freight pressure and export delays,"Logistics firms warned that freight pressure, export delays, shipping costs, and warehouse congestion could squeeze profit margins for manufacturers and retailers.",BBC Demo,2026-02-24T08:40:00+00:00,https://demo.local/logistics-firms-warn-of-freight-pressure-and-export-delays,en,Business,demo
4e8e6a745252,Fintech lenders target small business cash-flow gap,"Fintech lenders rolled out small business finance products focused on cash-flow forecasting, digital underwriting, repayment flexibility, and growth capital access.",Reuters Demo,2026-02-27T09:55:00+00:00,https://demo.local/fintech-lenders-target-small-business-cash-flow-gap,en,Business,demo
1c48ff13876b,Hospitals scale vaccine outreach in rural districts,"Hospitals expanded vaccine outreach, rural clinics, public health education, and preventive care appointments to improve immunization coverage across districts.",BBC Demo,2026-02-18T05:35:00+00:00,https://demo.local/hospitals-scale-vaccine-outreach-in-rural-districts,en,Health,demo
2ce7f7c6c232,Researchers report progress in antiviral treatment trial,"Medical researchers reported encouraging antiviral trial data, improved patient recovery, laboratory validation, and broader healthcare planning for infectious disease control.",CNN Demo,2026-02-22T09:30:00+00:00,https://demo.local/researchers-report-progress-in-antiviral-treatment-trial,en,Health,demo
9ca5307ca7f2,Public health dashboard flags seasonal respiratory surge,"A public health dashboard flagged a seasonal respiratory surge, prompting hospitals to review staffing, emergency care capacity, medical supplies, and community guidance.",Reuters Demo,2026-02-24T19:15:00+00:00,https://demo.local/public-health-dashboard-flags-seasonal-respiratory-surge,en,Health,demo
77591ada93b1,Insurance providers expand telemedicine support benefits,"Insurance providers expanded telemedicine support, digital care reimbursement, mental health access, and remote consultation benefits for patients and doctors.",BBC Demo,2026-02-26T10:05:00+00:00,https://demo.local/insurance-providers-expand-telemedicine-support-benefits,en,Health,demo
ad715b5a471b,Cities brace for heatwave with new water resilience plans,"City officials introduced climate resilience plans covering water storage, urban heat mitigation, drought preparation, and emergency energy management ahead of a heatwave.",CNN Demo,2026-02-19T06:25:00+00:00,https://demo.local/cities-brace-for-heatwave-with-new-water-resilience-plans,en,Climate,demo
8d3148c6f936,Energy groups invest in offshore wind expansion,"Energy groups increased investment in offshore wind, renewable infrastructure, carbon reduction, and climate targets as governments promoted cleaner power systems.",Reuters Demo,2026-02-21T11:45:00+00:00,https://demo.local/energy-groups-invest-in-offshore-wind-expansion,en,Climate,demo
5d262d7805ea,Farmers seek climate support after irregular rainfall,"Farmers requested climate support, crop insurance, irrigation upgrades, and weather forecasting tools after irregular rainfall disrupted planting cycles and yields.",BBC Demo,2026-02-23T12:35:00+00:00,https://demo.local/farmers-seek-climate-support-after-irregular-rainfall,en,Climate,demo
280f35427b65,Coastal engineers test flood barriers before storm season,"Coastal engineers tested flood barriers, storm drainage systems, sea-level defenses, and disaster planning scenarios before the next storm season.",CNN Demo,2026-02-27T13:20:00+00:00,https://demo.local/coastal-engineers-test-flood-barriers-before-storm-season,en,Climate,demo
