article_id,title,content,source,published_at,url,language,expected_domain,split
153bd35c90ea,Election watchdog flags campaign ad transparency gaps,"Election watchdog officials warned that campaign ad transparency rules, coalition messaging, and parliamentary reporting standards need tighter policy oversight before the next vote.",Policy Review Desk,2026-03-02T08:00:00+00:00,https://dataset.local/election-watchdog-flags-campaign-ad-transparency-gaps,en,Politics,holdout
2a7dc5b6f7e1,Football analysts model midfield transitions before cup semifinal,"Football analysts modeled midfield transitions, pressing sequences, player recovery, and squad rotation plans before the cup semifinal and training review.",Sports Lab,2026-03-02T11:00:00+00:00,https://dataset.local/football-analysts-model-midfield-transitions-before-cup-semifinal,en,Sports,holdout
3afb6d4f0a4a,Cloud security vendor expands automation suite for enterprises,"A cloud security vendor expanded its automation suite with developer tooling, software integration, machine learning alerts, and enterprise compliance dashboards.",Tech Monitor,2026-03-03T09:00:00+00:00,https://dataset.local/cloud-security-vendor-expands-automation-suite-for-enterprises,en,Technology,holdout
3b0bb6cc84a0,Retail chains cut logistics costs with better inventory forecasting,"Retail chains reported lower logistics costs after improving inventory forecasting, digital sales planning, and supplier coordination through the quarter.",Market Pulse,2026-03-03T14:00:00+00:00,https://dataset.local/retail-chains-cut-logistics-costs-with-better-inventory-forecasting,en,Business,holdout
28d1e85a18f4,Hospitals expand remote monitoring for chronic care patients,"Hospitals expanded remote monitoring, telemedicine support, preventive care outreach, and patient follow-up services for chronic care programs.",Health Daily,2026-03-04T10:00:00+00:00,https://dataset.local/hospitals-expand-remote-monitoring-for-chronic-care-patients,en,Health,holdout
720f5edf3a65,Coastal towns upgrade flood response and heat resilience plans,"Coastal towns upgraded flood response systems, drought planning, water storage, and urban heat resilience projects before the peak weather season.",Climate Desk,2026-03-04T16:00:00+00:00,https://dataset.local/coastal-towns-upgrade-flood-response-and-heat-resilience-plans,en,Climate,holdout
2fa5b2c6615a,Parliament committee debates digital identity safeguards,"A parliament committee debated digital identity safeguards, regulation design, government accountability, and voter privacy protections in a new policy session.",Policy Review Desk,2026-03-05T08:30:00+00:00,https://dataset.local/parliament-committee-debates-digital-identity-safeguards,en,Politics,holdout
93463e315a01,Cricket staff balance bowling workload ahead of final series match,"Cricket staff balanced bowling workload, recovery planning, training intensity, and tactical matchups before the final series contest.",Sports Lab,2026-03-05T12:00:00+00:00,https://dataset.local/cricket-staff-balance-bowling-workload-ahead-of-final-series-match,en,Sports,holdout
e6c877e26473,Chip designers unveil efficient accelerators for inference clusters,"Chip designers unveiled efficient accelerators for inference clusters, software optimization, cloud deployment, and enterprise AI workloads.",Tech Monitor,2026-03-05T15:30:00+00:00,https://dataset.local/chip-designers-unveil-efficient-accelerators-for-inference-clusters,en,Technology,holdout
ab792f385452,Fintech platform helps exporters manage cash-flow volatility,"A fintech platform launched new lending and forecasting tools to help exporters manage cash-flow volatility, repayment schedules, and cross-border finance.",Market Pulse,2026-03-06T09:15:00+00:00,https://dataset.local/fintech-platform-helps-exporters-manage-cash-flow-volatility,en,Business,holdout
69de12fce641,Medical trial reports better recovery in antiviral therapy group,"Medical trial researchers reported better recovery in the antiviral therapy group, with expanded diagnostics review, patient monitoring, and public health planning.",Health Daily,2026-03-06T13:45:00+00:00,https://dataset.local/medical-trial-reports-better-recovery-in-antiviral-therapy-group,en,Health,holdout
82bafa950e31,Renewable grid planners assess offshore wind and storage demand,"Renewable grid planners assessed offshore wind expansion, battery storage demand, carbon reduction pathways, and climate resilience funding.",Climate Desk,2026-03-06T17:10:00+00:00,https://dataset.local/renewable-grid-planners-assess-offshore-wind-and-storage-demand,en,Climate,holdout
