article_id,title,content,source,published_at,url,language,expected_domain,split
fdeaee4da5d4,Parliament backs election finance reform plan Snapshot,"Government lawmakers approved an election finance package after a long parliament debate on campaign funding, voter transparency, coalition strategy, and policy oversight. Campaign advisers expanded voter outreach and debate planning across multiple constituencies.",BBC Archive,2026-02-18T08:00:00+00:00,https://dataset.local/parliament-backs-election-finance-reform-plan-snapshot,en,Politics,train
1ecfd0018875,Parliament backs election finance reform plan Outlook,"Government lawmakers approved an election finance package after a long parliament debate on campaign funding, voter transparency, coalition strategy, and policy oversight. Coalition negotiators tracked polling shifts and legislative messaging ahead of the next vote.",BBC Archive,2026-02-28T08:00:00+00:00,https://dataset.local/parliament-backs-election-finance-reform-plan-outlook,en,Politics,train
c747d18caf64,Parliament backs election finance reform plan Watch,"Government lawmakers approved an election finance package after a long parliament debate on campaign funding, voter transparency, coalition strategy, and policy oversight. Election observers monitored turnout expectations, oversight reforms, and cabinet coordination.",BBC Archive,2026-03-10T08:00:00+00:00,https://dataset.local/parliament-backs-election-finance-reform-plan-watch,en,Politics,train
e439b2bb3ba6,Parliament backs election finance reform plan Briefing,"Government lawmakers approved an election finance package after a long parliament debate on campaign funding, voter transparency, coalition strategy, and policy oversight. Policy teams measured public reaction, parliament strategy, and party alliance discipline.",BBC Archive,2026-03-20T08:00:00+00:00,https://dataset.local/parliament-backs-election-finance-reform-plan-briefing,en,Politics,validation
3a3d3271d0db,Cabinet outlines new industrial policy after budget session Snapshot,"Ministers said the industrial policy will support manufacturing, regional jobs, export growth, and infrastructure while opposition leaders demanded stricter accountability from government agencies. Campaign advisers expanded voter outreach and debate planning across multiple constituencies.",BBC Archive,2026-02-19T09:15:00+00:00,https://dataset.local/cabinet-outlines-new-industrial-policy-after-budget-session-snapshot,en,Politics,train
fe2c0ae21b22,Cabinet outlines new industrial policy after budget session Outlook,"Ministers said the industrial policy will support manufacturing, regional jobs, export growth, and infrastructure while opposition leaders demanded stricter accountability from government agencies. Coalition negotiators tracked polling shifts and legislative messaging ahead of the next vote.",BBC Archive,2026-03-01T09:15:00+00:00,https://dataset.local/cabinet-outlines-new-industrial-policy-after-budget-session-outlook,en,Politics,train
89bddcc59774,Cabinet outlines new industrial policy after budget session Watch,"Ministers said the industrial policy will support manufacturing, regional jobs, export growth, and infrastructure while opposition leaders demanded stricter accountability from government agencies. Election observers monitored turnout expectations, oversight reforms, and cabinet coordination.",BBC Archive,2026-03-11T09:15:00+00:00,https://dataset.local/cabinet-outlines-new-industrial-policy-after-budget-session-watch,en,Politics,train
9d52a759c099,Cabinet outlines new industrial policy after budget session Briefing,"Ministers said the industrial policy will support manufacturing, regional jobs, export growth, and infrastructure while opposition leaders demanded stricter accountability from government agencies. Policy teams measured public reaction, parliament strategy, and party alliance discipline.",BBC Archive,2026-03-21T09:15:00+00:00,https://dataset.local/cabinet-outlines-new-industrial-policy-after-budget-session-briefing,en,Politics,validation
816370cf3881,Regional leaders push coalition talks ahead of national vote Snapshot,"Party officials accelerated coalition negotiations, election outreach, and legislative messaging as polling tightened before the national vote and parliament reconvened. Campaign advisers expanded voter outreach and debate planning across multiple constituencies.",Reuters Archive,2026-02-21T10:00:00+00:00,https://dataset.local/regional-leaders-push-coalition-talks-ahead-of-national-vote-snapshot,en,Politics,train
be1e4a1af534,Regional leaders push coalition talks ahead of national vote Outlook,"Party officials accelerated coalition negotiations, election outreach, and legislative messaging as polling tightened before the national vote and parliament reconvened. Coalition negotiators tracked polling shifts and legislative messaging ahead of the next vote.",Reuters Archive,2026-03-03T10:00:00+00:00,https://dataset.local/regional-leaders-push-coalition-talks-ahead-of-national-vote-outlook,en,Politics,train
ce4dac216121,Regional leaders push coalition talks ahead of national vote Watch,"Party officials accelerated coalition negotiations, election outreach, and legislative messaging as polling tightened before the national vote and parliament reconvened. Election observers monitored turnout expectations, oversight reforms, and cabinet coordination.",Reuters Archive,2026-03-13T10:00:00+00:00,https://dataset.local/regional-leaders-push-coalition-talks-ahead-of-national-vote-watch,en,Politics,train
